USGS Basin,fire_year,fraction_catchment
10277500,2007,9.14E-06
10277500,2007,0.000448424
10277500,2007,3.78E-05
10277500,1960,0.001821543
10277500,1972,9.01E-05
10277500,2005,8.77E-06
10277500,1966,0.000245427
10277500,1966,6.11E-05
10277500,2005,2.39E-05
10277500,2005,1.41E-05
10277500,2005,2.56E-05
10277500,1986,0.00040416
10277500,1986,3.01E-05
10277500,1958,0.00026386
10277500,1986,1.54E-05
10277500,1960,0.001188219
10277500,1972,0.000221586
10277500,1995,0.003566776
10277500,1996,4.15E-05
10277500,1986,6.27E-05
10277500,1972,0.001094959
10277500,1972,0.00011517
10277500,1972,0.000524587
10277500,1972,2.72E-05
10277500,1972,0.000524004
10277500,1984,2.04E-05
10277500,1981,0.000952122
10277500,1962,0.004884522
10277500,1997,7.44E-06
10277500,2003,0.001847656
10277500,1991,0.000156234
10277500,1974,0.000500965
10277500,1983,0.000238213
10277500,1983,0.00019984
10277500,1979,5.03E-06
10277500,1985,0.000208168
10277500,1985,0.002299002
10277500,1981,0.002373905
10277500,1982,1.93E-05
10277500,1985,0.000159534
10277500,1989,5.76E-05
10277500,1972,4.73E-05
10277500,1984,0.002318997
10277500,2002,0.000294458
10277500,1987,0.000450963
10277500,1987,0.000480707
10277500,1988,0.000264527
10277500,2001,0.002038759
10277500,1990,4.17E-05
10277500,1991,1.16E-05
10277500,1993,0.000409201
10277500,2003,6.04E-06
10277500,2005,6.50E-05
10277500,2005,0.000187369
10277500,2002,0.001915441
10277500,2002,0.004835933
10277500,2002,0.000113338
10277500,1977,5.59E-05
10277500,1977,7.64E-05
10277500,1998,0.002563504
10277500,1987,0.000134552
10277500,1987,0.000327701
10277500,1987,0.000764655
10277500,2006,1.38E-05
10277500,2006,6.22E-05
10277500,2006,0.00558795
10277500,2008,6.56E-05
10277500,2008,0.000576285
10277500,2008,0.00026656
10277500,2008,9.38E-05
10277500,2009,3.42E-05
10277500,2009,6.82E-05
10277500,2009,0.000500792
10277500,2010,7.38E-05
10277500,2011,0.000331328
10277500,2011,0.00436062
10277500,2011,0.000155084
10277500,2012,0.000853653
10277500,2012,0.001028937
10277500,2012,9.36E-06
10277500,2013,1.02E-05
10277500,2014,1.37E-05
10277500,2014,8.53E-05
10277500,2015,0.004912163
10277500,2016,0.001810464
10277500,2016,0.004099059
10277500,2016,9.26E-05
10278500,1992,0.01220142
10278500,2006,0.007247994
10281500,2007,0.016085788
10281500,2007,0.561248619
10281500,1981,0.013407903
10286000,2016,0.014524951
10287400,1987,0.002292977
10287400,2014,0.001382108
10354700,1917,0.24116498
10354700,1950,0.338798842
10354700,1987,0.984468934
10355000,1944,0.006498308
10355000,1985,0.012160918
10355000,2010,0.011091467
10355500,1944,0.425436858
10356500,2007,0.000625905
10356500,1921,0.002925219
10356500,1939,0.001214284
10356500,1924,0.002540704
10356500,1942,0.002566186
10356500,1918,0.00286426
10356500,1918,0.001136986
10356500,1918,0.008960935
10356500,1918,0.001360768
10356500,1988,0.003092522
10356500,1955,0.009231421
10356500,2000,0.005965928
10356500,2001,0.032960861
10356500,1989,0.000414117
10356500,2000,0.000983631
10356500,2006,3.22E-05
10356500,2006,0.001091293
10356500,1999,0.000445698
10356500,2012,0.001254941
10356500,2016,6.46E-05
10356500,2016,0.021177665
10357000,1924,0.092260526
10357000,2006,0.078611459
10358470,1954,0.092213646
10359300,1926,0.00083683
10359300,1911,0.001116324
10359300,1911,0.000748718
10359300,1911,0.000747907
10359300,1925,0.00204392
10359300,1917,0.000327811
10359300,1951,6.76E-05
10359300,1924,0.002557511
10359300,1924,0.037726375
10359300,1917,0.005407709
